source_ref,workstream,schedule,entity_or_item,period_or_as_of,case,metric_or_driver,numeric_value,text_or_decision,units,source_or_owner,source_date,system_tie
PLN-00655,Complete the backlog burn and capacity model,Project burn curve,P-3114,2027-05,Approved case,Monthly burn share,0.17777777777777778,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00656,Complete the backlog burn and capacity model,Project burn curve,P-3114,2027-06,Approved case,Monthly burn share,0.2,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00657,Complete the backlog burn and capacity model,Signed contract backlog,P-3122,2026-06-30,Approved case,Remaining transaction price,4750000.0,,USD,Finance operating schedule,2026-06-30,
PLN-00658,Complete the backlog burn and capacity model,Signed contract backlog,P-3122,FY27,Approved case,Contract start month,,2026-12,classification,Finance operating schedule,2026-06-30,
PLN-00659,Complete the backlog burn and capacity model,Signed contract backlog,P-3122,FY27,Approved case,Execution probability,0.85,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00660,Complete the backlog burn and capacity model,Signed contract backlog,P-3122,FY27,Approved case,Revenue per productive hour,120.0,,USD per hour,Finance operating schedule,2026-06-30,
PLN-00661,Complete the backlog burn and capacity model,Project burn curve,P-3122,2026-12,Approved case,Monthly burn share,0.03571428571428571,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00662,Complete the backlog burn and capacity model,Project burn curve,P-3122,2027-01,Approved case,Monthly burn share,0.07142857142857142,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00663,Complete the backlog burn and capacity model,Project burn curve,P-3122,2027-02,Approved case,Monthly burn share,0.10714285714285714,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00664,Complete the backlog burn and capacity model,Project burn curve,P-3122,2027-03,Approved case,Monthly burn share,0.14285714285714285,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00665,Complete the backlog burn and capacity model,Project burn curve,P-3122,2027-04,Approved case,Monthly burn share,0.17857142857142858,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00666,Complete the backlog burn and capacity model,Project burn curve,P-3122,2027-05,Approved case,Monthly burn share,0.21428571428571427,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00667,Complete the backlog burn and capacity model,Project burn curve,P-3122,2027-06,Approved case,Monthly burn share,0.25,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00668,Complete the backlog burn and capacity model,Signed contract backlog,P-3130,2026-06-30,Approved case,Remaining transaction price,7200.0,,USD thousands,Finance operating schedule,2026-06-30,
PLN-00669,Complete the backlog burn and capacity model,Signed contract backlog,P-3130,FY27,Approved case,Contract start month,,2027-01,classification,Finance operating schedule,2026-06-30,
PLN-00670,Complete the backlog burn and capacity model,Signed contract backlog,P-3130,FY27,Approved case,Execution probability,0.9,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00671,Complete the backlog burn and capacity model,Signed contract backlog,P-3130,FY27,Approved case,Revenue per productive hour,138.0,,USD per hour,Finance operating schedule,2026-06-30,
PLN-00672,Complete the backlog burn and capacity model,Project burn curve,P-3130,2027-01,Approved case,Monthly burn share,0.047619047619047616,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00673,Complete the backlog burn and capacity model,Project burn curve,P-3130,2027-02,Approved case,Monthly burn share,0.09523809523809523,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00674,Complete the backlog burn and capacity model,Project burn curve,P-3130,2027-03,Approved case,Monthly burn share,0.14285714285714285,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00675,Complete the backlog burn and capacity model,Project burn curve,P-3130,2027-04,Approved case,Monthly burn share,0.19047619047619047,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00676,Complete the backlog burn and capacity model,Project burn curve,P-3130,2027-05,Approved case,Monthly burn share,0.23809523809523808,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00677,Complete the backlog burn and capacity model,Project burn curve,P-3130,2027-06,Approved case,Monthly burn share,0.2857142857142857,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00678,Complete the backlog burn and capacity model,Signed contract backlog,P-3138,2026-06-30,Approved case,Remaining transaction price,3900000.0,,USD,Finance operating schedule,2026-06-30,
PLN-00679,Complete the backlog burn and capacity model,Signed contract backlog,P-3138,FY27,Approved case,Contract start month,,2027-02,classification,Finance operating schedule,2026-06-30,
PLN-00680,Complete the backlog burn and capacity model,Signed contract backlog,P-3138,FY27,Approved case,Execution probability,1.0,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00681,Complete the backlog burn and capacity model,Signed contract backlog,P-3138,FY27,Approved case,Revenue per productive hour,125.0,,USD per hour,Finance operating schedule,2026-06-30,
PLN-00682,Complete the backlog burn and capacity model,Project burn curve,P-3138,2027-02,Approved case,Monthly burn share,0.06666666666666667,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00683,Complete the backlog burn and capacity model,Project burn curve,P-3138,2027-03,Approved case,Monthly burn share,0.13333333333333333,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00684,Complete the backlog burn and capacity model,Project burn curve,P-3138,2027-04,Approved case,Monthly burn share,0.2,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00685,Complete the backlog burn and capacity model,Project burn curve,P-3138,2027-05,Approved case,Monthly burn share,0.26666666666666666,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00686,Complete the backlog burn and capacity model,Project burn curve,P-3138,2027-06,Approved case,Monthly burn share,0.3333333333333333,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00687,Complete the backlog burn and capacity model,Signed contract backlog,P-3145,2026-06-30,Approved case,Remaining transaction price,5100000.0,,USD,Finance operating schedule,2026-06-30,
PLN-00688,Complete the backlog burn and capacity model,Signed contract backlog,P-3145,FY27,Approved case,Contract start month,,2027-03,classification,Finance operating schedule,2026-06-30,
PLN-00689,Complete the backlog burn and capacity model,Signed contract backlog,P-3145,FY27,Approved case,Execution probability,0.8,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00690,Complete the backlog burn and capacity model,Signed contract backlog,P-3145,FY27,Approved case,Revenue per productive hour,145.0,,USD per hour,Finance operating schedule,2026-06-30,
PLN-00691,Complete the backlog burn and capacity model,Project burn curve,P-3145,2027-03,Approved case,Monthly burn share,0.1,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00692,Complete the backlog burn and capacity model,Project burn curve,P-3145,2027-04,Approved case,Monthly burn share,0.2,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00693,Complete the backlog burn and capacity model,Project burn curve,P-3145,2027-05,Approved case,Monthly burn share,0.3,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00694,Complete the backlog burn and capacity model,Project burn curve,P-3145,2027-06,Approved case,Monthly burn share,0.4,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00695,Complete the backlog burn and capacity model,Signed contract backlog,P-3152,2026-06-30,Approved case,Remaining transaction price,2850000.0,,USD,Finance operating schedule,2026-06-30,
PLN-00696,Complete the backlog burn and capacity model,Signed contract backlog,P-3152,FY27,Approved case,Contract start month,,2027-04,classification,Finance operating schedule,2026-06-30,
PLN-00697,Complete the backlog burn and capacity model,Signed contract backlog,P-3152,FY27,Approved case,Execution probability,1.0,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00698,Complete the backlog burn and capacity model,Signed contract backlog,P-3152,FY27,Approved case,Revenue per productive hour,130.0,,USD per hour,Finance operating schedule,2026-06-30,
PLN-00699,Complete the backlog burn and capacity model,Project burn curve,P-3152,2027-04,Approved case,Monthly burn share,0.16666666666666666,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00700,Complete the backlog burn and capacity model,Project burn curve,P-3152,2027-05,Approved case,Monthly burn share,0.3333333333333333,,decimal ratio,Finance operating schedule,2026-06-30,
PLN-00701,Complete the backlog burn and capacity model,Project burn curve,P-3152,2027-06,Approved case,Monthly burn share,0.5,,decimal ratio,Finance operating schedule,2026-06-30,
